Date,Close,Date,Volume
2023-09-27,4313.5,2023-09-27,1965913
2023-09-28,4337.5,2023-09-28,2012088
2023-09-29,4325.5,2023-09-29,2106053
2023-10-02,4324.25,2023-10-02,1950463
2023-10-03,4264.75,2023-10-03,2256808
2023-10-04,4297.75,2023-10-04,2168271
2023-10-05,4290.75,2023-10-05,1673477
2023-10-06,4341.5,2023-10-06,2216456
2023-10-09,4368.75,2023-10-09,1485254
2023-10-10,4391.5,2023-10-10,1610271
2023-10-11,4409.75,2023-10-11,1489644
2023-10-12,4380.5,2023-10-12,1881573
2023-10-13,4357.25,2023-10-13,2159101
2023-10-16,4401.0,2023-10-16,1668948
2023-10-17,4401.75,2023-10-17,1879736
2023-10-18,4342.25,2023-10-18,2271572
2023-10-19,4303.0,2023-10-19,2741942
2023-10-20,4248.5,2023-10-20,2328806
2023-10-23,4241.75,2023-10-23,1963670
2023-10-24,4271.25,2023-10-24,1807092
2023-10-25,4209.75,2023-10-25,1981633
2023-10-26,4156.5,2023-10-26,2419407
2023-10-27,4137.75,2023-10-27,2195767
2023-10-30,4185.75,2023-10-30,1904610
2023-10-31,4212.25,2023-10-31,1836212
2023-11-01,4256.0,2023-11-01,2027080
2023-11-02,4335.75,2023-11-02,1819596
2023-11-03,4376.0,2023-11-03,1803552
2023-11-06,4384.25,2023-11-06,1348878
2023-11-07,4396.0,2023-11-07,1371257
2023-11-08,4399.5,2023-11-08,1390288
2023-11-09,4362.25,2023-11-09,1972630
2023-11-10,4430.5,2023-11-10,1752002
2023-11-13,4425.25,2023-11-13,1276182
2023-11-14,4511.0,2023-11-14,1901847
2023-11-15,4519.25,2023-11-15,1573452
2023-11-16,4523.25,2023-11-16,1491734
2023-11-17,4527.5,2023-11-17,1331912
2023-11-20,4562.25,2023-11-20,1220790
2023-11-21,4551.25,2023-11-21,1101669
2023-11-22,4567.25,2023-11-22,1403636
2023-11-23,4569.5,2023-11-23,1403636
2023-11-24,4568.25,2023-11-24,572702
2023-11-27,4561.0,2023-11-27,1124213
2023-11-28,4563.0,2023-11-28,1441119
2023-11-29,4559.25,2023-11-29,1592398
2023-11-30,4576.75,2023-11-30,2056268
2023-12-01,4600.75,2023-12-01,1914151
2023-12-04,4576.5,2023-12-04,1818991
2023-12-05,4575.0,2023-12-05,1890825
2023-12-06,4556.0,2023-12-06,1837961
2023-12-07,4589.5,2023-12-07,1832361
2023-12-08,4607.5,2023-12-08,2289425
2023-12-11,4626.0,2023-12-11,1663229
2023-12-12,4645.75,2023-12-12,1052077
2023-12-13,4708.25,2023-12-13,739684
2023-12-14,4721.75,2023-12-14,560819
2023-12-15,4694.27001953125,2023-12-15,1801823
2023-12-18,4793.0,2023-12-18,1139029
2023-12-19,4820.25,2023-12-19,1122973
2023-12-20,4749.75,2023-12-20,1749145
2023-12-21,4796.75,2023-12-21,1687065
2023-12-22,4805.25,2023-12-22,1326697
2023-12-26,4825.0,2023-12-26,688201
2023-12-27,4833.5,2023-12-27,1042284
2023-12-28,4832.25,2023-12-28,927035
2023-12-29,4820.0,2023-12-29,1281733
2024-01-02,4787.25,2024-01-02,1678142
2024-01-03,4746.5,2024-01-03,1707174
2024-01-04,4729.5,2024-01-04,1395366
2024-01-05,4734.75,2024-01-05,1767245
2024-01-08,4801.25,2024-01-08,1417728
2024-01-09,4792.75,2024-01-09,1369103
2024-01-10,4820.25,2024-01-10,1377780
2024-01-11,4815.5,2024-01-11,1795564
2024-01-12,4816.5,2024-01-12,1519899
2024-01-16,4798.5,2024-01-16,1905532
2024-01-17,4771.25,2024-01-17,1663328
2024-01-18,4811.25,2024-01-18,1746936
2024-01-19,4869.5,2024-01-19,1876757
2024-01-22,4881.0,2024-01-22,1356050
2024-01-23,4895.0,2024-01-23,1130749
2024-01-24,4898.0,2024-01-24,1586824
2024-01-25,4923.25,2024-01-25,1532026
2024-01-26,4916.25,2024-01-26,1363612
2024-01-29,4954.5,2024-01-29,1197989
2024-01-30,4951.0,2024-01-30,1157425
2024-01-31,4870.5,2024-01-31,2285993
2024-02-01,4928.5,2024-02-01,1835510
2024-02-02,4980.25,2024-02-02,1957796
2024-02-05,4962.0,2024-02-05,1504676
2024-02-06,4974.75,2024-02-06,1267419
2024-02-07,5015.25,2024-02-07,1336172
2024-02-08,5017.75,2024-02-08,997431
2024-02-09,5044.0,2024-02-09,1212336
2024-02-12,5041.25,2024-02-12,1141487
2024-02-13,4971.25,2024-02-13,2112726
2024-02-14,5018.0,2024-02-14,1632071
2024-02-15,5046.5,2024-02-15,1361757
2024-02-16,5019.75,2024-02-16,1527729
2024-02-20,4991.5,2024-02-20,1609827
2024-02-21,4996.25,2024-02-21,1485687
2024-02-22,5097.75,2024-02-22,1738869
2024-02-23,5101.5,2024-02-23,1340050
2024-02-26,5080.25,2024-02-26,1094682
2024-02-27,5090.0,2024-02-27,1026819
2024-02-28,5081.0,2024-02-28,1201011
2024-02-29,5103.75,2024-02-29,1790702
2024-03-01,5146.0,2024-03-01,1597331
2024-03-04,5138.25,2024-03-04,1208040
2024-03-05,5085.75,2024-03-05,1885769
2024-03-06,5111.75,2024-03-06,1996223
2024-03-07,5161.75,2024-03-07,1791666
2024-03-08,5129.0,2024-03-08,2786680
2024-03-11,5123.0,2024-03-11,1840000
2024-03-12,5177.25,2024-03-12,1211911
2024-03-13,5168.0,2024-03-13,540170
2024-03-14,5153.75,2024-03-14,476074
2024-03-15,5101.669921875,2024-03-15,1927775
2024-03-18,5214.75,2024-03-18,1377276
